cp-train: gens=120 pop=64 elite=8 games=64 seed=1 cap=200 arch=[57, 24, 16, 1] (1809 params) out=checkpoints/phase1
gen  56/120  best=+0.6051 mean=+0.2944 med=+0.2893 std=0.1119 tf=0.226 nov=0.000 sigma=0.0789 wT=0.133 gLen=151.1 bankrupt=0.06 div=8.330 234.7 g/s
gen  57/120  best=+0.6712 mean=+0.2754 med=+0.2841 std=0.1389 tf=0.172 nov=0.000 sigma=0.0771 wT=0.125 gLen=158.9 bankrupt=0.05 div=9.189 230.8 g/s
gen  58/120  best=+0.6552 mean=+0.3302 med=+0.3046 std=0.1297 tf=0.160 nov=0.000 sigma=0.0753 wT=0.117 gLen=152.5 bankrupt=0.04 div=8.496 233.8 g/s
gen  59/120  best=+0.5420 mean=+0.2989 med=+0.2926 std=0.1179 tf=0.171 nov=0.000 sigma=0.0735 wT=0.108 gLen=157.5 bankrupt=0.04 div=8.678 239.0 g/s
gen  60/120  best=+0.5375 mean=+0.2935 med=+0.2884 std=0.1159 tf=0.185 nov=0.000 sigma=0.0717 wT=0.100 gLen=157.8 bankrupt=0.05 div=4.966 226.3 g/s
gen  61/120  best=+0.5801 mean=+0.2969 med=+0.2855 std=0.1211 tf=0.215 nov=0.000 sigma=0.0699 wT=0.092 gLen=152.4 bankrupt=0.05 div=5.709 229.2 g/s
gen  62/120  best=+0.6076 mean=+0.3109 med=+0.3082 std=0.1252 tf=0.184 nov=0.000 sigma=0.0681 wT=0.083 gLen=148.5 bankrupt=0.07 div=5.366 211.6 g/s
gen  63/120  best=+0.5408 mean=+0.2913 med=+0.2995 std=0.1336 tf=0.187 nov=0.000 sigma=0.0662 wT=0.075 gLen=148.1 bankrupt=0.07 div=4.994 221.0 g/s
gen  64/120  best=+0.5136 mean=+0.2886 med=+0.2938 std=0.1137 tf=0.210 nov=0.000 sigma=0.0644 wT=0.067 gLen=150.3 bankrupt=0.06 div=5.541 228.4 g/s
gen  65/120  best=+0.5703 mean=+0.2744 med=+0.2552 std=0.1175 tf=0.196 nov=0.000 sigma=0.0626 wT=0.058 gLen=151.1 bankrupt=0.06 div=6.260 208.2 g/s
gen  66/120  best=+0.5345 mean=+0.2929 med=+0.2925 std=0.1156 tf=0.169 nov=0.000 sigma=0.0608 wT=0.050 gLen=149.0 bankrupt=0.06 div=6.028 230.0 g/s
gen  67/120  best=+0.6086 mean=+0.2913 med=+0.2907 std=0.1214 tf=0.135 nov=0.000 sigma=0.0590 wT=0.042 gLen=157.0 bankrupt=0.04 div=6.649 216.3 g/s
gen  68/120  best=+0.5076 mean=+0.2546 med=+0.2628 std=0.1407 tf=0.145 nov=0.000 sigma=0.0572 wT=0.033 gLen=159.7 bankrupt=0.03 div=6.489 224.5 g/s
gen  69/120  best=+0.5884 mean=+0.2582 med=+0.2354 std=0.1275 tf=0.265 nov=0.000 sigma=0.0554 wT=0.025 gLen=161.0 bankrupt=0.03 div=5.700 215.6 g/s
gen  70/120  best=+0.5830 mean=+0.2833 med=+0.2756 std=0.1250 tf=0.216 nov=0.000 sigma=0.0536 wT=0.017 gLen=147.7 bankrupt=0.06 div=6.042 196.0 g/s
gen  71/120  best=+0.6287 mean=+0.3265 med=+0.3088 std=0.1058 tf=0.246 nov=0.000 sigma=0.0518 wT=0.008 gLen=141.1 bankrupt=0.06 div=3.915 198.7 g/s
gen  72/120  best=+0.7307 mean=+0.3074 med=+0.3143 std=0.1482 tf=0.253 nov=0.000 sigma=0.0500 wT=0.000 gLen=137.5 bankrupt=0.07 div=3.407 190.6 g/s
gen  73/120  best=+0.5418 mean=+0.3096 med=+0.3127 std=0.1112 tf=0.178 nov=0.000 sigma=0.0500 wT=0.000 gLen=140.8 bankrupt=0.07 div=3.675 177.0 g/s
gen  74/120  best=+0.5979 mean=+0.2953 med=+0.2763 std=0.1236 tf=0.262 nov=0.000 sigma=0.0500 wT=0.000 gLen=144.1 bankrupt=0.05 div=3.827 203.4 g/s
gen  75/120  best=+0.5740 mean=+0.3083 med=+0.2992 std=0.1156 tf=0.251 nov=0.000 sigma=0.0500 wT=0.000 gLen=139.4 bankrupt=0.07 div=3.733 198.0 g/s
gen  76/120  best=+0.5940 mean=+0.2996 med=+0.2917 std=0.1208 tf=0.243 nov=0.000 sigma=0.0500 wT=0.000 gLen=144.3 bankrupt=0.06 div=3.837 203.4 g/s
gen  77/120  best=+0.6300 mean=+0.3087 med=+0.3280 std=0.1240 tf=0.223 nov=0.000 sigma=0.0500 wT=0.000 gLen=144.6 bankrupt=0.06 div=4.399 208.6 g/s
gen  78/120  best=+0.5398 mean=+0.2879 med=+0.2788 std=0.1143 tf=0.204 nov=0.000 sigma=0.0500 wT=0.000 gLen=149.9 bankrupt=0.05 div=5.159 209.7 g/s
gen  79/120  best=+0.5130 mean=+0.2843 med=+0.2822 std=0.1234 tf=0.175 nov=0.000 sigma=0.0500 wT=0.000 gLen=154.8 bankrupt=0.04 div=5.029 228.5 g/s
gen  80/120  best=+0.5023 mean=+0.2802 med=+0.2823 std=0.0990 tf=0.154 nov=0.000 sigma=0.0500 wT=0.000 gLen=156.9 bankrupt=0.04 div=5.753 212.4 g/s
gen  81/120  best=+0.5744 mean=+0.3159 med=+0.3204 std=0.1172 tf=0.211 nov=0.000 sigma=0.0500 wT=0.000 gLen=152.2 bankrupt=0.04 div=5.731 218.9 g/s
gen  82/120  best=+0.5687 mean=+0.2817 med=+0.2831 std=0.1171 tf=0.187 nov=0.000 sigma=0.0500 wT=0.000 gLen=153.0 bankrupt=0.04 div=3.721 224.8 g/s
gen  83/120  best=+0.5662 mean=+0.2903 med=+0.3059 std=0.1220 tf=0.182 nov=0.000 sigma=0.0500 wT=0.000 gLen=152.9 bankrupt=0.03 div=3.140 220.6 g/s
gen  84/120  best=+0.5540 mean=+0.2863 med=+0.2814 std=0.1123 tf=0.180 nov=0.000 sigma=0.0500 wT=0.000 gLen=155.4 bankrupt=0.04 div=3.659 217.9 g/s
gen  85/120  best=+0.6961 mean=+0.2900 med=+0.2935 std=0.1192 tf=0.179 nov=0.000 sigma=0.0500 wT=0.000 gLen=150.9 bankrupt=0.04 div=4.034 226.8 g/s
gen  86/120  best=+0.5137 mean=+0.2573 med=+0.2524 std=0.1260 tf=0.149 nov=0.000 sigma=0.0500 wT=0.000 gLen=153.3 bankrupt=0.04 div=4.030 225.8 g/s
gen  87/120  best=+0.4365 mean=+0.2679 med=+0.2685 std=0.0966 tf=0.156 nov=0.000 sigma=0.0500 wT=0.000 gLen=156.9 bankrupt=0.04 div=4.254 232.9 g/s
gen  88/120  best=+0.5383 mean=+0.2833 med=+0.2870 std=0.1221 tf=0.191 nov=0.000 sigma=0.0500 wT=0.000 gLen=156.4 bankrupt=0.03 div=4.418 242.4 g/s
gen  89/120  best=+0.5057 mean=+0.2794 med=+0.2797 std=0.0966 tf=0.203 nov=0.000 sigma=0.0500 wT=0.000 gLen=158.5 bankrupt=0.03 div=4.637 241.2 g/s
gen  90/120  best=+0.5421 mean=+0.2677 med=+0.2866 std=0.1138 tf=0.222 nov=0.000 sigma=0.0500 wT=0.000 gLen=155.6 bankrupt=0.04 div=4.799 226.4 g/s
gen  91/120  best=+0.5381 mean=+0.2577 med=+0.2598 std=0.1017 tf=0.164 nov=0.000 sigma=0.0500 wT=0.000 gLen=157.3 bankrupt=0.03 div=4.225 238.3 g/s
gen  92/120  best=+0.5358 mean=+0.2600 med=+0.2586 std=0.1088 tf=0.152 nov=0.000 sigma=0.0500 wT=0.000 gLen=151.5 bankrupt=0.04 div=4.538 228.7 g/s
gen  93/120  best=+0.5426 mean=+0.2894 med=+0.2904 std=0.1106 tf=0.169 nov=0.000 sigma=0.0500 wT=0.000 gLen=154.0 bankrupt=0.03 div=4.911 219.0 g/s
gen  94/120  best=+0.4692 mean=+0.2737 med=+0.2696 std=0.1142 tf=0.177 nov=0.000 sigma=0.0500 wT=0.000 gLen=154.4 bankrupt=0.03 div=4.843 231.0 g/s
gen  95/120  best=+0.5758 mean=+0.2922 med=+0.2916 std=0.1129 tf=0.229 nov=0.000 sigma=0.0500 wT=0.000 gLen=154.1 bankrupt=0.03 div=3.692 214.2 g/s
gen  96/120  best=+0.5021 mean=+0.2582 med=+0.2439 std=0.1103 tf=0.207 nov=0.000 sigma=0.0500 wT=0.000 gLen=153.2 bankrupt=0.03 div=2.986 202.5 g/s
gen  97/120  best=+0.4560 mean=+0.2557 med=+0.2564 std=0.0943 tf=0.193 nov=0.000 sigma=0.0500 wT=0.000 gLen=151.9 bankrupt=0.04 div=3.127 199.3 g/s
gen  98/120  best=+0.5026 mean=+0.2507 med=+0.2378 std=0.1268 tf=0.217 nov=0.000 sigma=0.0500 wT=0.000 gLen=149.7 bankrupt=0.04 div=3.685 197.3 g/s
gen  99/120  best=+0.5473 mean=+0.2816 med=+0.2798 std=0.1204 tf=0.194 nov=0.000 sigma=0.0500 wT=0.000 gLen=147.5 bankrupt=0.04 div=3.865 204.3 g/s
gen 100/120  best=+0.6652 mean=+0.2957 med=+0.3074 std=0.1199 tf=0.243 nov=0.000 sigma=0.0500 wT=0.000 gLen=148.8 bankrupt=0.04 div=4.270 206.0 g/s
gen 101/120  best=+0.5384 mean=+0.2905 med=+0.2965 std=0.1264 tf=0.170 nov=0.000 sigma=0.0500 wT=0.000 gLen=148.4 bankrupt=0.04 div=4.564 202.9 g/s
gen 102/120  best=+0.4554 mean=+0.2652 med=+0.2872 std=0.0983 tf=0.222 nov=0.000 sigma=0.0500 wT=0.000 gLen=152.9 bankrupt=0.03 div=4.863 214.6 g/s
gen 103/120  best=+0.5979 mean=+0.2548 med=+0.2376 std=0.1156 tf=0.228 nov=0.000 sigma=0.0500 wT=0.000 gLen=151.0 bankrupt=0.04 div=4.157 199.8 g/s
gen 104/120  best=+0.4716 mean=+0.2579 med=+0.2529 std=0.1093 tf=0.195 nov=0.000 sigma=0.0500 wT=0.000 gLen=153.9 bankrupt=0.04 div=4.764 207.3 g/s
gen 105/120  best=+0.4831 mean=+0.2590 med=+0.2672 std=0.1351 tf=0.202 nov=0.000 sigma=0.0500 wT=0.000 gLen=149.1 bankrupt=0.04 div=5.453 196.2 g/s
gen 106/120  best=+0.4460 mean=+0.2391 med=+0.2250 std=0.1017 tf=0.169 nov=0.000 sigma=0.0500 wT=0.000 gLen=151.3 bankrupt=0.04 div=5.191 202.2 g/s
gen 107/120  best=+0.5863 mean=+0.2633 med=+0.2586 std=0.1092 tf=0.255 nov=0.000 sigma=0.0500 wT=0.000 gLen=147.8 bankrupt=0.05 div=5.480 192.3 g/s
gen 108/120  best=+0.5748 mean=+0.2681 med=+0.2691 std=0.1122 tf=0.219 nov=0.000 sigma=0.0500 wT=0.000 gLen=149.7 bankrupt=0.04 div=5.348 201.0 g/s
gen 109/120  best=+0.6396 mean=+0.2524 med=+0.2370 std=0.1458 tf=0.223 nov=0.000 sigma=0.0500 wT=0.000 gLen=141.6 bankrupt=0.07 div=5.816 179.8 g/s
gen 110/120  best=+0.5692 mean=+0.2869 med=+0.2995 std=0.1249 tf=0.252 nov=0.000 sigma=0.0500 wT=0.000 gLen=147.9 bankrupt=0.05 div=5.988 186.5 g/s
gen 111/120  best=+0.5824 mean=+0.2763 med=+0.2779 std=0.1259 tf=0.234 nov=0.000 sigma=0.0500 wT=0.000 gLen=140.1 bankrupt=0.06 div=6.378 180.4 g/s
gen 112/120  best=+0.5814 mean=+0.2643 med=+0.2647 std=0.1373 tf=0.280 nov=0.000 sigma=0.0500 wT=0.000 gLen=143.1 bankrupt=0.06 div=6.475 172.2 g/s
gen 113/120  best=+0.5262 mean=+0.2970 med=+0.2853 std=0.1042 tf=0.248 nov=0.000 sigma=0.0500 wT=0.000 gLen=141.8 bankrupt=0.05 div=5.012 165.3 g/s
gen 114/120  best=+0.5827 mean=+0.3032 med=+0.2996 std=0.1109 tf=0.231 nov=0.000 sigma=0.0500 wT=0.000 gLen=135.9 bankrupt=0.06 div=4.609 171.0 g/s
gen 115/120  best=+0.5502 mean=+0.3108 med=+0.3121 std=0.1209 tf=0.230 nov=0.000 sigma=0.0500 wT=0.000 gLen=141.9 bankrupt=0.05 div=5.004 182.0 g/s
gen 116/120  best=+0.4728 mean=+0.2446 med=+0.2518 std=0.1356 tf=0.197 nov=0.000 sigma=0.0500 wT=0.000 gLen=150.3 bankrupt=0.04 div=4.208 194.2 g/s
gen 117/120  best=+0.5642 mean=+0.2365 med=+0.2399 std=0.1184 tf=0.227 nov=0.000 sigma=0.0500 wT=0.000 gLen=144.6 bankrupt=0.05 div=5.095 196.4 g/s
gen 118/120  best=+0.4850 mean=+0.2659 med=+0.2595 std=0.0974 tf=0.179 nov=0.000 sigma=0.0500 wT=0.000 gLen=149.4 bankrupt=0.04 div=4.929 204.4 g/s
gen 119/120  best=+0.4887 mean=+0.2396 med=+0.2402 std=0.0970 tf=0.200 nov=0.000 sigma=0.0500 wT=0.000 gLen=154.5 bankrupt=0.03 div=4.554 212.7 g/s
cp-train: done in 2243.4s — wrote checkpoints/phase1/champion.json, checkpoints/phase1/hof.json (HoF size 10), checkpoints/phase1/log.jsonl
